module,function,datetime,provider,level,msg
FlaLD_BepressDC,log,"2021-08-04 09:11:39,074",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1136"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,076",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1137"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,080",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1138"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,082",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1144"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,085",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1145"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,087",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1146"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,089",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1147"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,091",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1148"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,094",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1150"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,096",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1151"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,099",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1152"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,101",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1153"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,103",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1154"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,106",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1156"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,109",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1155"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,111",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1158"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,114",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1157"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,117",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1159"
